Unnamed: 0,Idade,Genero,Trabalho,Habitacao,Conta_poupanca,Conta_corrente,Valor_credito,Duracao,Finalidade,y_true,y_pred,prob
152,24,male,2,own,little,rich,5848,36,radio/TV,1,1,0.7787443883226183
724,21,female,2,rent,little,little,2570,27,car,0,0,0.37135336907794547
586,36,male,2,rent,little,little,2799,9,car,1,0,0.4702666064853693
70,30,female,2,own,little,little,8133,36,car,1,0,0.41972275819616783
386,21,female,2,rent,little,little,1126,18,radio/TV,1,1,0.5408566852408178
319,27,female,1,own,little,little,3643,15,furniture/equipment,1,0,0.41972275819616783
282,49,male,1,own,little,rich,1445,18,radio/TV,1,1,0.7787443883226183
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,1,1,0.7187627240977423
366,27,male,2,own,little,little,3850,18,car,1,1,0.5208452981261614
447,35,male,2,own,little,moderate,2576,7,radio/TV,1,1,0.5383417523890773
835,48,male,2,own,little,little,1082,12,car,0,1,0.5208452981261614
46,39,male,2,own,rich,little,2299,36,radio/TV,1,1,0.9045217400223117
862,35,female,2,own,little,little,2439,24,radio/TV,0,1,0.5905635530803504
165,32,male,2,own,rich,little,2978,6,furniture/equipment,1,1,0.8261093652722888
700,29,female,1,rent,rich,little,1123,12,furniture/equipment,0,1,0.7208045277755992
924,55,male,2,own,little,little,6872,24,furniture/equipment,0,1,0.5208452981261614
638,34,female,2,own,little,little,1493,12,radio/TV,1,1,0.5905635530803504
680,56,female,2,own,little,little,1538,6,education,1,0,0.41972275819616783
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,0,0,0.23350483322862475
532,41,male,2,rent,little,little,1503,12,car,1,0,0.4702666064853693
23,44,male,2,own,moderate,moderate,1804,12,car,1,0,0.4458262443803713
184,36,male,2,own,little,moderate,884,18,car,0,0,0.3689931897187437
673,24,male,2,own,rich,little,2080,6,car,1,1,0.8261093652722888
859,26,male,2,rent,moderate,little,3577,9,car,1,1,0.5498130607837038
280,23,male,2,rent,rich,little,3368,15,car,1,1,0.7950757483139316
385,25,female,2,own,little,little,2238,18,radio/TV,1,1,0.5905635530803504
940,45,male,3,own,little,little,3527,12,car,1,1,0.5208452981261614
699,40,male,3,rent,little,rich,1905,15,education,1,1,0.5904082799097076
409,28,male,2,own,rich,rich,939,12,car,0,1,0.885241250039748
991,34,male,1,own,moderate,little,1569,15,radio/TV,1,1,0.7488759281145062
606,74,male,3,own,little,little,4526,24,business,1,1,0.5208452981261614
759,35,male,2,own,little,little,691,12,car,0,1,0.5208452981261614
511,32,male,3,free,little,little,4686,36,car,1,0,0.38217988716353457
50,29,male,1,own,little,moderate,2333,24,furniture/equipment,1,0,0.3689931897187437
983,26,male,2,own,little,little,8229,36,car,0,1,0.5208452981261614
175,53,female,3,own,little,little,7485,30,car,0,0,0.41972275819616783
100,41,male,1,rent,moderate,little,1469,24,car,1,1,0.5498130607837038
55,26,male,1,own,little,little,783,6,car,1,1,0.5208452981261614
383,26,male,2,own,little,rich,1330,12,car,1,1,0.6383378170297626
634,25,female,1,own,little,moderate,1355,24,car,0,0,0.28011734446539394
238,35,female,2,own,little,little,1291,12,radio/TV,1,1,0.5905635530803504
590,58,female,1,own,little,little,385,12,radio/TV,1,1,0.5905635530803504
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,0,0,0.28011734446539394
192,36,male,2,own,little,moderate,3915,27,business,0,0,0.3689931897187437
818,43,male,3,own,little,little,15857,36,vacation/others,1,1,0.5208452981261614
198,36,male,2,free,little,moderate,2760,24,car,1,0,0.24968856834758912
736,23,female,3,rent,little,moderate,11560,24,car,0,0,0.24115031965709313
248,26,male,2,own,little,rich,1925,24,furniture/equipment,1,1,0.6383378170297626
966,23,male,1,own,rich,moderate,2520,27,radio/TV,0,1,0.8359695000929547
683,47,male,2,free,little,little,5103,24,radio/TV,1,1,0.5522834874288857
715,63,male,2,own,little,little,7596,30,car,1,1,0.5208452981261614
681,37,male,2,free,little,little,2279,12,radio/TV,1,1,0.5522834874288857
112,28,male,1,rent,little,moderate,6260,18,car,1,0,0.3232136486733006
546,37,female,2,own,little,little,2022,24,car,1,0,0.41972275819616783
506,36,male,2,own,rich,rich,2360,15,car,1,1,0.885241250039748
128,34,male,3,own,little,moderate,1860,12,car,1,0,0.3689931897187437
24,26,male,2,own,little,little,2069,10,furniture/equipment,1,1,0.5208452981261614
491,42,female,3,free,little,moderate,8318,27,business,0,0,0.18129250449614737
381,38,female,3,free,little,moderate,12976,18,car,0,0,0.18129250449614737
27,42,female,2,rent,rich,rich,409,12,radio/TV,1,1,0.8931559111282916
133,47,male,2,free,little,little,1984,18,furniture/equipment,1,0,0.38217988716353457
440,39,male,3,own,little,little,1884,12,car,1,1,0.5208452981261614
993,30,male,3,own,little,little,3959,36,furniture/equipment,1,1,0.5208452981261614
975,57,female,1,own,rich,rich,1258,24,radio/TV,1,1,0.9109989938609359
563,37,male,2,free,little,moderate,12389,36,car,0,0,0.24968856834758912
217,23,male,2,own,little,rich,3913,36,radio/TV,1,1,0.7787443883226183
942,31,male,2,own,little,little,929,24,furniture/equipment,1,1,0.5208452981261614
524,26,female,1,own,little,moderate,1113,18,radio/TV,1,0,0.43691978949128984
413,40,male,1,rent,rich,little,1597,10,car,1,1,0.7950757483139316
746,23,female,2,rent,little,little,2511,15,car,1,0,0.37135336907794547
878,27,male,3,free,little,little,1422,9,car,0,0,0.38217988716353457
467,32,male,2,own,little,little,7238,48,radio/TV,1,1,0.6843070618572797
730,33,male,2,own,little,moderate,6403,24,radio/TV,1,1,0.5383417523890773
340,24,female,2,free,little,moderate,5743,24,education,1,0,0.18129250449614737
705,35,female,2,free,rich,little,5324,15,car,1,1,0.6427279428400205
134,21,female,2,own,moderate,little,10144,60,radio/TV,1,1,0.6649172414932248
779,67,female,2,own,little,moderate,3872,18,repairs,1,0,0.28011734446539394
269,25,male,2,own,little,little,999,24,radio/TV,1,1,0.6843070618572797
195,34,female,3,own,little,moderate,1501,9,education,0,0,0.28011734446539394
153,29,female,2,rent,rich,moderate,7758,24,car,1,1,0.5813913935570367
71,46,male,1,rent,little,little,730,7,radio/TV,1,1,0.6390245892580063
815,54,female,2,rent,little,moderate,7432,36,car,1,0,0.24115031965709313
390,30,male,3,own,little,little,1820,18,car,1,1,0.5208452981261614
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,1,0,0.3140431201239679
207,26,male,2,own,little,moderate,1424,12,domestic appliances,1,0,0.3689931897187437
676,33,male,2,own,little,little,5150,24,furniture/equipment,1,1,0.5208452981261614
844,47,male,2,own,little,little,3422,18,furniture/equipment,1,1,0.5208452981261614
61,50,male,2,own,little,moderate,1537,15,radio/TV,1,1,0.5383417523890773
869,24,female,2,rent,little,little,652,12,furniture/equipment,1,0,0.37135336907794547
879,36,male,2,own,little,little,6742,30,radio/TV,1,1,0.6843070618572797
836,21,female,2,own,little,little,886,12,radio/TV,1,1,0.5905635530803504
550,23,female,2,own,little,little,996,12,repairs,1,0,0.41972275819616783
305,33,male,2,own,rich,little,1543,6,furniture/equipment,1,1,0.8261093652722888
529,41,male,1,own,little,little,662,6,car,1,1,0.5208452981261614
82,24,female,1,rent,moderate,little,1568,18,business,1,0,0.4483286982910028
584,52,female,3,free,little,little,2133,12,car,1,0,0.2915956262744996
735,29,female,0,own,little,moderate,3990,36,domestic appliances,1,0,0.28011734446539394
631,44,male,2,own,little,little,1553,18,furniture/equipment,0,1,0.5208452981261614
978,47,male,1,own,little,little,2538,24,car,0,1,0.5208452981261614
99,36,male,3,rent,little,moderate,7057,20,car,1,0,0.3232136486733006
785,35,male,1,own,rich,moderate,1941,18,business,1,1,0.7187627240977423
929,43,male,1,own,little,little,1344,12,car,1,1,0.5208452981261614
995,31,female,1,own,little,little,1736,12,furniture/equipment,1,0,0.41972275819616783
471,23,female,2,own,little,little,448,6,education,0,0,0.41972275819616783
325,39,male,1,own,little,little,3398,8,car,1,1,0.5208452981261614
371,33,male,2,own,little,little,6070,18,radio/TV,1,1,0.6843070618572797
481,26,male,2,own,little,moderate,1201,24,car,1,0,0.3689931897187437
486,52,male,2,own,little,little,3077,12,radio/TV,1,1,0.6843070618572797
220,26,male,1,own,little,moderate,625,12,radio/TV,1,1,0.5383417523890773
36,31,male,2,free,little,little,6110,48,education,1,0,0.38217988716353457
389,27,female,2,own,little,little,1449,9,business,1,0,0.41972275819616783
26,39,male,1,own,little,little,426,6,radio/TV,1,1,0.6843070618572797
170,33,male,2,rent,little,little,950,15,car,0,0,0.4702666064853693
712,46,male,3,own,little,little,2476,21,car,1,1,0.5208452981261614
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,0,1,0.5992687196742734
188,20,male,2,own,moderate,little,674,12,radio/TV,0,1,0.7488759281145062
139,44,female,1,rent,little,rich,1881,12,radio/TV,1,1,0.6566767462358313
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,0,0,0.3689931897187437
829,38,male,2,free,little,moderate,6681,48,business,1,0,0.24968856834758912
337,24,female,2,rent,little,little,1275,15,domestic appliances,0,0,0.37135336907794547
914,31,male,2,rent,little,little,3161,24,business,0,0,0.4702666064853693
48,39,male,1,own,little,little,7228,11,car,1,1,0.5208452981261614
709,37,male,1,own,little,moderate,2118,9,radio/TV,1,1,0.5383417523890773
788,50,male,2,free,little,moderate,6224,48,education,0,0,0.24968856834758912
987,64,female,2,own,moderate,little,1409,13,radio/TV,1,1,0.6649172414932248
969,40,male,1,own,little,little,3939,11,car,1,1,0.5208452981261614
31,27,male,2,own,little,little,4020,24,furniture/equipment,1,1,0.5208452981261614
347,23,female,0,rent,rich,moderate,3758,24,radio/TV,1,1,0.7347183184980531
91,54,male,2,own,little,little,1409,12,car,1,1,0.5208452981261614
814,46,male,2,free,little,little,3931,48,car,0,0,0.38217988716353457
190,54,male,3,own,rich,little,4591,24,business,0,1,0.8261093652722888
250,39,female,1,own,rich,little,666,6,car,1,1,0.7596861212524078
186,74,female,3,free,little,moderate,5129,9,car,0,0,0.18129250449614737
6,53,male,2,own,rich,little,2835,24,furniture/equipment,1,1,0.8261093652722888
654,35,male,2,own,little,little,2346,24,car,1,1,0.5208452981261614
941,31,male,1,own,little,little,1546,10,car,1,1,0.5208452981261614
474,33,male,2,own,little,moderate,1245,18,radio/TV,0,1,0.5383417523890773
892,38,male,1,own,little,little,2171,12,car,1,1,0.5208452981261614
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,0,1,0.5671308476009154
907,27,male,2,own,little,moderate,3711,36,education,1,0,0.3689931897187437
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,1,0,0.3232136486733006
931,22,female,2,own,little,moderate,1670,9,radio/TV,0,0,0.43691978949128984
59,23,female,1,rent,little,little,6229,36,furniture/equipment,0,0,0.37135336907794547
802,24,female,2,own,little,little,4272,20,furniture/equipment,1,0,0.41972275819616783
738,45,male,3,own,little,little,6761,6,car,1,1,0.5208452981261614
169,31,male,2,own,little,moderate,1935,24,business,0,0,0.3689931897187437
10,25,female,2,rent,little,moderate,1295,12,car,0,0,0.24115031965709313
302,37,male,1,own,little,rich,1344,24,car,0,1,0.6383378170297626
468,26,female,2,own,little,little,2764,33,business,1,0,0.41972275819616783
214,51,male,2,own,little,little,3342,36,radio/TV,1,1,0.6843070618572797
509,45,male,3,own,moderate,little,8588,39,car,1,1,0.5992687196742734
636,28,female,2,own,rich,little,1376,24,radio/TV,1,1,0.8630866222197172
743,22,male,2,own,rich,little,2483,24,furniture/equipment,1,1,0.8261093652722888
834,25,female,1,own,little,rich,2327,15,radio/TV,0,1,0.7007817100652334
235,30,male,3,own,little,little,1823,24,radio/TV,0,1,0.6843070618572797
376,34,male,2,own,little,little,2320,18,radio/TV,1,1,0.6843070618572797
461,36,male,2,own,little,little,1721,15,car,1,1,0.5208452981261614
543,34,male,1,own,little,rich,2864,18,furniture/equipment,0,1,0.6383378170297626
624,65,male,2,free,little,little,2600,18,radio/TV,0,1,0.5522834874288857
33,57,male,1,rent,little,little,1264,12,business,1,0,0.4702666064853693
245,25,male,2,own,little,little,1258,24,business,1,1,0.5208452981261614
989,48,male,1,own,little,moderate,1743,24,radio/TV,1,1,0.5383417523890773
430,74,male,1,own,little,little,3448,5,business,1,1,0.5208452981261614
162,36,male,2,own,rich,little,1262,15,domestic appliances,1,1,0.8261093652722888
297,45,male,1,own,little,little,1287,10,car,1,1,0.5208452981261614
615,48,male,3,own,little,moderate,12204,48,business,1,0,0.3689931897187437
131,29,male,2,own,little,little,6887,36,education,0,1,0.5208452981261614
231,51,male,1,free,rich,little,2507,9,car,1,1,0.7299886758992492
947,38,male,3,own,little,little,2859,12,car,1,1,0.5208452981261614
714,27,male,3,own,little,moderate,14027,60,car,0,0,0.3689931897187437
968,29,male,2,rent,little,little,7166,42,radio/TV,1,1,0.6390245892580063
806,26,male,1,own,little,moderate,590,6,radio/TV,1,1,0.5383417523890773
252,24,female,2,own,little,moderate,2150,30,car,0,0,0.28011734446539394
261,55,female,2,own,little,little,1603,24,radio/TV,1,1,0.5905635530803504
871,46,male,2,own,little,rich,1343,6,car,1,1,0.6383378170297626
853,32,male,1,free,little,little,1442,18,car,0,0,0.38217988716353457
875,40,female,2,own,rich,moderate,1322,11,car,1,1,0.6297143184463068
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,1,1,0.5813913935570367
219,64,female,2,own,little,little,1364,10,car,1,0,0.41972275819616783
690,25,male,2,own,little,little,975,15,furniture/equipment,1,1,0.5208452981261614
674,41,male,1,own,rich,little,2580,21,business,0,1,0.8261093652722888
850,33,male,2,rent,little,little,2235,20,car,0,0,0.4702666064853693
518,43,male,2,own,moderate,little,1203,6,car,1,1,0.5992687196742734
620,27,male,2,own,little,moderate,3652,21,business,1,0,0.3689931897187437
477,25,male,2,own,little,rich,5152,24,radio/TV,1,1,0.7787443883226183
341,26,female,1,rent,little,little,3599,21,furniture/equipment,1,0,0.37135336907794547
125,30,male,2,own,little,little,2121,12,car,1,1,0.5208452981261614
883,65,female,0,own,little,little,1098,18,radio/TV,1,1,0.5905635530803504
211,45,female,1,own,little,little,3835,36,radio/TV,1,1,0.5905635530803504
727,25,female,2,rent,little,little,1882,18,radio/TV,0,1,0.5408566852408178
687,30,male,2,free,moderate,moderate,2862,36,car,1,0,0.3140431201239679
777,25,female,2,own,little,little,3509,18,radio/TV,1,1,0.5905635530803504
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,1,0,0.3689931897187437
952,28,female,2,rent,rich,moderate,4113,24,car,0,1,0.5813913935570367
464,34,male,2,own,little,little,1950,18,business,1,1,0.5208452981261614
580,30,male,2,own,little,moderate,1056,18,car,0,0,0.3689931897187437
523,23,female,2,own,moderate,little,3488,24,car,1,0,0.49876947310497005
633,19,female,2,rent,little,little,1980,9,furniture/equipment,0,0,0.37135336907794547
838,63,male,2,own,little,little,2957,24,car,1,1,0.5208452981261614
141,30,female,3,own,little,moderate,4795,36,radio/TV,1,0,0.43691978949128984
955,57,female,3,rent,rich,little,1231,24,radio/TV,1,1,0.8373529286784772
798,54,male,2,own,little,little,717,24,car,1,1,0.5208452981261614
721,24,female,2,rent,rich,moderate,433,6,education,0,1,0.5813913935570367
4,53,male,2,free,little,little,4870,24,car,0,0,0.38217988716353457
333,24,female,1,rent,moderate,little,11590,48,car,0,0,0.4483286982910028
653,42,male,3,own,moderate,moderate,8086,36,car,0,0,0.4458262443803713
876,36,male,3,free,little,little,1940,18,radio/TV,1,1,0.5522834874288857
812,24,male,2,own,little,little,9629,36,car,0,1,0.5208452981261614
782,31,male,1,own,little,moderate,1410,12,education,1,0,0.3689931897187437
365,36,male,2,own,little,little,1542,12,business,1,1,0.5208452981261614
577,33,female,2,own,little,little,1927,24,education,1,0,0.41972275819616783
348,34,male,1,own,moderate,little,1743,6,business,1,1,0.5992687196742734
752,23,female,1,rent,moderate,moderate,841,12,business,1,0,0.3041964288308282
554,67,female,3,own,little,moderate,1199,9,education,1,0,0.28011734446539394
321,32,male,2,own,little,little,1938,24,radio/TV,0,1,0.6843070618572797
962,29,male,2,own,little,little,3556,15,car,1,1,0.5208452981261614
514,54,male,2,own,little,little,2255,24,car,1,1,0.5208452981261614
718,31,male,2,own,little,rich,3148,24,radio/TV,1,1,0.7787443883226183
475,26,female,2,rent,little,little,3114,18,furniture/equipment,0,0,0.37135336907794547
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,0,0,0.3689931897187437
151,38,male,2,own,little,little,1924,10,radio/TV,1,1,0.6843070618572797
394,31,male,3,own,little,little,2406,9,furniture/equipment,1,1,0.5208452981261614
257,29,male,2,free,little,little,2149,12,radio/TV,0,1,0.5522834874288857
922,22,female,2,rent,little,little,1366,9,radio/TV,0,1,0.5408566852408178
548,24,female,1,own,little,little,626,12,radio/TV,0,1,0.5905635530803504
619,49,male,1,own,little,little,640,12,car,1,1,0.5208452981261614
897,35,female,2,own,rich,little,1592,12,furniture/equipment,1,1,0.7596861212524078
29,63,male,2,own,little,little,6836,60,business,0,1,0.5208452981261614
809,26,female,0,rent,little,moderate,1778,15,car,0,0,0.24115031965709313
77,51,male,2,own,little,moderate,4771,11,radio/TV,1,1,0.5383417523890773
262,36,male,3,free,little,little,5302,18,car,1,0,0.38217988716353457
180,28,male,2,own,little,little,9572,36,business,0,1,0.5208452981261614
544,61,male,1,own,little,little,1255,12,car,1,1,0.5208452981261614
657,37,male,2,own,little,little,10222,48,radio/TV,1,1,0.6843070618572797
998,23,male,2,free,little,little,1845,45,radio/TV,0,1,0.5522834874288857
868,37,male,2,own,little,little,7409,36,business,1,1,0.5208452981261614
442,29,male,2,own,little,moderate,2629,20,vacation/others,1,0,0.3689931897187437
164,36,male,2,own,rich,little,909,36,car,1,1,0.8261093652722888
378,57,male,3,free,little,moderate,14318,36,car,0,0,0.24968856834758912
635,47,male,2,own,little,little,1393,12,education,1,1,0.5208452981261614
561,24,male,1,rent,little,little,1546,24,radio/TV,0,1,0.6390245892580063
25,36,male,1,own,little,little,1374,6,furniture/equipment,1,1,0.5208452981261614
556,28,female,2,own,moderate,moderate,2278,18,car,0,0,0.34867008485934103
296,20,female,2,rent,little,little,4675,12,car,1,0,0.37135336907794547
69,25,female,2,own,little,little,2394,36,radio/TV,1,1,0.5905635530803504
119,36,male,3,own,rich,moderate,2366,12,car,1,1,0.7187627240977423
377,36,male,2,free,little,little,846,7,radio/TV,1,1,0.5522834874288857
395,32,male,2,rent,moderate,moderate,11760,39,education,1,0,0.39650416231209096
368,42,male,2,own,little,little,3446,36,furniture/equipment,0,1,0.5208452981261614
630,28,female,2,own,little,little,3660,24,radio/TV,1,1,0.5905635530803504
260,27,male,2,own,little,little,1657,12,furniture/equipment,1,1,0.5208452981261614
200,52,male,2,own,rich,little,936,9,education,1,1,0.8261093652722888
370,36,male,2,own,little,little,3079,36,car,1,1,0.5208452981261614
549,35,male,2,free,little,little,8858,48,car,1,0,0.38217988716353457
540,23,male,2,rent,little,moderate,1534,12,radio/TV,0,0,0.4877936942203759
67,22,male,2,own,rich,moderate,1007,12,car,1,1,0.7187627240977423
263,57,female,1,free,little,little,2748,12,education,1,0,0.2915956262744996
418,31,female,3,own,rich,little,2782,21,car,1,1,0.7596861212524078
963,35,male,2,own,rich,little,2397,24,radio/TV,0,1,0.9045217400223117
47,23,female,0,rent,rich,little,1352,6,car,1,1,0.7208045277755992
870,40,female,2,own,rich,little,7678,36,furniture/equipment,1,1,0.7596861212524078
356,49,male,2,own,little,little,2331,12,radio/TV,1,1,0.6843070618572797
19,31,male,2,own,rich,little,3430,24,radio/TV,1,1,0.9045217400223117
208,21,male,1,own,little,little,6568,24,business,1,1,0.5208452981261614
627,29,male,2,own,moderate,moderate,1437,9,car,0,0,0.4458262443803713
357,26,male,3,own,little,little,4463,36,radio/TV,0,1,0.6843070618572797
964,22,male,1,own,little,moderate,454,6,repairs,1,0,0.3689931897187437
